TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
66,spuh,tinamu1,Tinamus sp.,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),NA,NA,NA,NA,NA
143,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),NA,NA,NA,NA,NA
171,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),NA,NA,NA,NA,NA
207,spuh,tinamo1,Tinamidae sp.,Tinamou sp.,Tinamou sp.,Tinamiformes,Tinamidae (Tinamous),NA,NA,NA,NA,NA
215,species,bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,830,NA
217,species,fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,670,NA
223,spuh,whistl1,Dendrocygna sp.,whistling-duck sp.,whistling duck sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,830,Using BBWD mass
228,species,taibeg1,Anser fabalis,Taiga Bean-Goose,Taiga Bean Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,NA,NA
232,species,tunbeg1,Anser serrirostris,Tundra Bean-Goose,Tundra Bean Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,NA,NA
236,species,pifgoo,Anser brachyrhynchus,Pink-footed Goose,Pink-footed Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,4,2200,NA
237,species,gwfgoo,Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,2200,NA
247,species,lwfgoo,Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,5,NA,NA
248,species,gragoo,Anser anser,Graylag Goose,Greylag Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,5,3130,NA
